index escape_code
3912, '\u0f48'length=0 END
3949, '\u0f6d' START
3952, '\u0f70'length=3 END
3992, '\u0f98' START
3992, '\u0f98'length=0 END
4029, '\u0fbd' START
4029, '\u0fbd'length=0 END
4045, '\u0fcd' START
4045, '\u0fcd'length=0 END
4059, '\u0fdb' START
4095, '\u0fff'length=36 END
4294, '\u10c6' START
4294, '\u10c6'length=0 END
4296, '\u10c8' START
4300, '\u10cc'length=4 END
4302, '\u10ce' START
4303, '\u10cf'length=1 END
4681, '\u1249' START
4681, '\u1249'length=0 END
4686, '\u124e' START
4687, '\u124f'length=1 END
4695, '\u1257' START
4695, '\u1257'length=0 END
4697, '\u1259' START
4697, '\u1259'length=0 END
4702, '\u125e' START
4703, '\u125f'length=1 END
4745, '\u1289' START
4745, '\u1289'length=0 END
4750, '\u128e' START
4751, '\u128f'length=1 END
4785, '\u12b1' START
4785, '\u12b1'length=0 END
4790, '\u12b6' START
4791, '\u12b7'length=1 END
4799, '\u12bf' START
4799, '\u12bf'length=0 END
4801, '\u12c1' START
4801, '\u12c1'length=0 END
4806, '\u12c6' START
4807, '\u12c7'length=1 END
4823, '\u12d7' START
4823, '\u12d7'length=0 END
4881, '\u1311' START
4881, '\u1311'length=0 END
4886, '\u1316' START
4887, '\u1317'length=1 END
4955, '\u135b' START
4956, '\u135c'length=1 END
4989, '\u137d' START
4991, '\u137f'length=2 END
5018, '\u139a' START
5023, '\u139f'length=5 END
5110, '\u13f6' START
5111, '\u13f7'length=1 END
5118, '\u13fe' START
5119, '\u13ff'length=1 END
5760, '\u1680' START
5760, '\u1680'length=0 END
5789, '\u169d' START
5791, '\u169f'length=2 END
5881, '\u16f9' START
5887, '\u16ff'length=6 END
5901, '\u170d' START
5901, '\u170d'length=0 END
5909, '\u1715' START
5919, '\u171f'length=10 END
5943, '\u1737' START
5951, '\u173f'length=8 END
5972, '\u1754' START
5983, '\u175f'length=11 END
5997, '\u176d' START
5997, '\u176d'length=0 END
6001, '\u1771' START
6001, '\u1771'length=0 END
6004, '\u1774' START
6015, '\u177f'length=11 END
6110, '\u17de' START
6111, '\u17df'length=1 END
6122, '\u17ea' START
6127, '\u17ef'length=5 END
6138, '\u17fa' START
6143, '\u17ff'length=5 END
6158, '\u180e' START
6159, '\u180f'length=1 END
6170, '\u181a' START
6175, '\u181f'length=5 END
6265, '\u1879' START
6271, '\u187f'length=6 END
6315, '\u18ab' START
6319, '\u18af'length=4 END
6390, '\u18f6' START
6399, '\u18ff'length=9 END
6431, '\u191f' START
6431, '\u191f'length=0 END
6444, '\u192c' START
6447, '\u192f'length=3 END
6460, '\u193c' START
6463, '\u193f'length=3 END
6465, '\u1941' START
6467, '\u1943'length=2 END
6510, '\u196e' START
6511, '\u196f'length=1 END
6517, '\u1975' START
6527, '\u197f'length=10 END
6572, '\u19ac' START
6575, '\u19af'length=3 END
6602, '\u19ca' START
6607, '\u19cf'length=5 END
6619, '\u19db' START
6621, '\u19dd'length=2 END
6684, '\u1a1c' START
6685, '\u1a1d'length=1 END
6751, '\u1a5f' START
6751, '\u1a5f'length=0 END
6781, '\u1a7d' START
6782, '\u1a7e'length=1 END
6794, '\u1a8a' START
6799, '\u1a8f'length=5 END
6810, '\u1a9a' START
6815, '\u1a9f'length=5 END
6830, '\u1aae' START
6831, '\u1aaf'length=1 END
6849, '\u1ac1' START
6911, '\u1aff'length=62 END
6988, '\u1b4c' START
6991, '\u1b4f'length=3 END
7037, '\u1b7d' START
7039, '\u1b7f'length=2 END
7156, '\u1bf4' START
7163, '\u1bfb'length=7 END
7224, '\u1c38' START
7226, '\u1c3a'length=2 END
7242, '\u1c4a' START
7244, '\u1c4c'length=2 END
7305, '\u1c89' START
7311, '\u1c8f'length=6 END
7355, '\u1cbb' START
7356, '\u1cbc'length=1 END
7368, '\u1cc8' START
7375, '\u1ccf'length=7 END
7419, '\u1cfb' START
7423, '\u1cff'length=4 END
7674, '\u1dfa' START
7674, '\u1dfa'length=0 END
7958, '\u1f16' START
7959, '\u1f17'length=1 END
7966, '\u1f1e' START
7967, '\u1f1f'length=1 END
8006, '\u1f46' START
8007, '\u1f47'length=1 END
8014, '\u1f4e' START
8015, '\u1f4f'length=1 END
8024, '\u1f58' START
8024, '\u1f58'length=0 END
8026, '\u1f5a' START
8026, '\u1f5a'length=0 END
8028, '\u1f5c' START
8028, '\u1f5c'length=0 END
8030, '\u1f5e' START
8030, '\u1f5e'length=0 END
8062, '\u1f7e' START
8063, '\u1f7f'length=1 END
8117, '\u1fb5' START
8117, '\u1fb5'length=0 END
8133, '\u1fc5' START
8133, '\u1fc5'length=0 END
